ID,Datetime,Count
0,2012-08-25,8
1,2012-08-25,2
2,2012-08-25,6
3,2012-08-25,2
4,2012-08-25,2
5,2012-08-25,2
6,2012-08-25,2
7,2012-08-25,2
8,2012-08-25,6
9,2012-08-25,2
10,2012-08-25,2
11,2012-08-25,6
12,2012-08-25,4
13,2012-08-25,2
14,2012-08-25,6
15,2012-08-25,2
16,2012-08-25,2
17,2012-08-25,2
18,2012-08-25,2
19,2012-08-25,2
20,2012-08-25,2
21,2012-08-25,6
22,2012-08-25,2
23,2012-08-25,2
24,2012-08-26,4
25,2012-08-26,6
26,2012-08-26,2
27,2012-08-26,4
28,2012-08-26,2
29,2012-08-26,2
30,2012-08-26,2
31,2012-08-26,2
32,2012-08-26,2
33,2012-08-26,4
34,2012-08-26,2
35,2012-08-26,2
36,2012-08-26,8
37,2012-08-26,6
38,2012-08-26,6
39,2012-08-26,6
40,2012-08-26,2
41,2012-08-26,4
42,2012-08-26,4
43,2012-08-26,4
44,2012-08-26,2
45,2012-08-26,2
46,2012-08-26,4
47,2012-08-26,6
48,2012-08-27,6
49,2012-08-27,2
50,2012-08-27,2
51,2012-08-27,2
52,2012-08-27,2
53,2012-08-27,2
54,2012-08-27,4
55,2012-08-27,2
56,2012-08-27,2
57,2012-08-27,2
58,2012-08-27,2
59,2012-08-27,2
60,2012-08-27,2
61,2012-08-27,2
62,2012-08-27,2
63,2012-08-27,4
64,2012-08-27,2
65,2012-08-27,2
66,2012-08-27,4
67,2012-08-27,2
68,2012-08-27,4
69,2012-08-27,2
70,2012-08-27,2
71,2012-08-27,4
72,2012-08-28,2
73,2012-08-28,2
74,2012-08-28,2
75,2012-08-28,2
76,2012-08-28,2
77,2012-08-28,2
78,2012-08-28,2
79,2012-08-28,2
80,2012-08-28,4
81,2012-08-28,4
82,2012-08-28,2
83,2012-08-28,2
84,2012-08-28,2
85,2012-08-28,2
86,2012-08-28,2
87,2012-08-28,2
88,2012-08-28,2
89,2012-08-28,4
90,2012-08-28,2
91,2012-08-28,2
92,2012-08-28,2
93,2012-08-28,4
94,2012-08-28,4
95,2012-08-28,2
96,2012-08-29,4
97,2012-08-29,6
98,2012-08-29,2
99,2012-08-29,2
100,2012-08-29,2
101,2012-08-29,2
102,2012-08-29,2
103,2012-08-29,2
104,2012-08-29,2
105,2012-08-29,2
106,2012-08-29,4
107,2012-08-29,2
108,2012-08-29,2
109,2012-08-29,2
110,2012-08-29,4
111,2012-08-29,2
112,2012-08-29,2
113,2012-08-29,2
114,2012-08-29,2
115,2012-08-29,2
116,2012-08-29,2
117,2012-08-29,2
118,2012-08-29,2
119,2012-08-29,4
120,2012-08-30,2
121,2012-08-30,8
122,2012-08-30,4
123,2012-08-30,2
124,2012-08-30,4
125,2012-08-30,2
126,2012-08-30,2
127,2012-08-30,2
128,2012-08-30,2
129,2012-08-30,2
130,2012-08-30,2
131,2012-08-30,4
132,2012-08-30,2
133,2012-08-30,2
134,2012-08-30,2
135,2012-08-30,4
136,2012-08-30,4
137,2012-08-30,2
138,2012-08-30,4
139,2012-08-30,2
140,2012-08-30,6
141,2012-08-30,4
142,2012-08-30,2
143,2012-08-30,4
144,2012-08-31,6
145,2012-08-31,4
146,2012-08-31,2
147,2012-08-31,2
148,2012-08-31,2
149,2012-08-31,2
150,2012-08-31,2
151,2012-08-31,6
152,2012-08-31,2
153,2012-08-31,2
154,2012-08-31,4
155,2012-08-31,2
156,2012-08-31,2
157,2012-08-31,4
158,2012-08-31,4
159,2012-08-31,2
160,2012-08-31,2
161,2012-08-31,2
162,2012-08-31,2
163,2012-08-31,4
164,2012-08-31,4
165,2012-08-31,2
166,2012-08-31,4
167,2012-08-31,10
168,2012-09-01,8
169,2012-09-01,4
170,2012-09-01,4
171,2012-09-01,2
172,2012-09-01,2
173,2012-09-01,2
174,2012-09-01,4
175,2012-09-01,4
176,2012-09-01,2
177,2012-09-01,2
178,2012-09-01,8
179,2012-09-01,8
180,2012-09-01,6
181,2012-09-01,6
182,2012-09-01,6
183,2012-09-01,6
184,2012-09-01,4
185,2012-09-01,4
186,2012-09-01,8
187,2012-09-01,2
188,2012-09-01,6
189,2012-09-01,2
190,2012-09-01,4
191,2012-09-01,8
192,2012-09-02,10
193,2012-09-02,2
194,2012-09-02,4
195,2012-09-02,2
196,2012-09-02,6
197,2012-09-02,4
198,2012-09-02,2
199,2012-09-02,4
200,2012-09-02,4
201,2012-09-02,6
202,2012-09-02,4
203,2012-09-02,2
204,2012-09-02,6
205,2012-09-02,10
206,2012-09-02,6
207,2012-09-02,4
208,2012-09-02,6
209,2012-09-02,4
210,2012-09-02,4
211,2012-09-02,8
212,2012-09-02,4
213,2012-09-02,8
214,2012-09-02,4
215,2012-09-02,4
216,2012-09-03,4
217,2012-09-03,2
218,2012-09-03,4
219,2012-09-03,4
220,2012-09-03,2
221,2012-09-03,4
222,2012-09-03,2
223,2012-09-03,6
224,2012-09-03,2
225,2012-09-03,2
226,2012-09-03,6
227,2012-09-03,8
228,2012-09-03,4
229,2012-09-03,2
230,2012-09-03,10
231,2012-09-03,4
232,2012-09-03,4
233,2012-09-03,8
234,2012-09-03,6
235,2012-09-03,6
236,2012-09-03,6
237,2012-09-03,2
238,2012-09-03,4
239,2012-09-03,6
240,2012-09-04,2
241,2012-09-04,4
242,2012-09-04,4
243,2012-09-04,2
244,2012-09-04,2
245,2012-09-04,2
246,2012-09-04,2
247,2012-09-04,2
248,2012-09-04,2
249,2012-09-04,4
250,2012-09-04,2
251,2012-09-04,2
252,2012-09-04,4
253,2012-09-04,2
254,2012-09-04,2
255,2012-09-04,4
256,2012-09-04,2
257,2012-09-04,2
258,2012-09-04,2
259,2012-09-04,2
260,2012-09-04,4
261,2012-09-04,4
262,2012-09-04,4
263,2012-09-04,4
264,2012-09-05,2
265,2012-09-05,4
266,2012-09-05,10
267,2012-09-05,4
